Ranking,Country,Continent,Population (2021),Yearly Change %,Net Change,Density (Population/km2),Land Area (km2),Migrants (net),Fertility Rate,Median Age,Urban Population %
79,Tunisia,Africa,11818619,1.06,123900,76,155360,-4000,2.2,33,70
80,Bolivia,South America,11673021,1.39,159921,11,1083300,-9504,2.8,26,69
81,Belgium,Europe,11589623,0.44,50295,383,30280,48000,1.7,42,98
82,Haiti,North America,11402528,1.24,139451,414,27560,-35000,3.0,24,57
83,Cuba,North America,11326616,-0.06,-6867,106,106440,-14400,1.6,42,78
84,South Sudan,Africa,11193725,1.19,131612,18,610952,-174200,4.7,19,25
85,Dominican Republic,North America,10847910,1.01,108952,225,48320,-30000,2.4,28,85
86,Czech Republic,Europe,10708981,0.18,19772,139,77240,22011,1.6,43,74
87,Greece,Europe,10423054,-0.48,-50401,81,128900,-16000,1.3,46,85
88,Jordan,Asia,10203134,1.00,101440,115,88780,10220,2.8,24,91
89,Portugal,Europe,10196709,-0.29,-29478,111,91590,-6000,1.3,46,85
90,Azerbaijan,Asia,10139177,0.91,91459,123,82658,1200,2.1,32,56
91,Sweden,Europe,10099265,0.63,62886,25,410340,40000,1.9,41,88
92,Honduras,North America,9904607,1.63,158490,89,111890,-6800,2.5,24,57
93,United Arab Emirates,Asia,9890402,1.23,119873,118,83600,40000,1.4,33,86
94,Hungary,Europe,9660351,-0.25,-24328,107,90530,6000,1.5,43,72
95,Tajikistan,Asia,9537645,2.32,216627,68,139960,-20000,3.6,22,27
96,Belarus,Europe,9449323,-0.03,-3088,47,202910,8730,1.7,40,79
97,Austria,Europe,9006398,0.57,51296,109,82409,65000,1.5,43,57
98,Papua New Guinea,Oceania,8947024,1.95,170915,20,452860,-800,3.6,22,13
99,Serbia,Europe,8737371,-0.40,-34864,100,87460,4000,1.5,42,56
100,Israel,Asia,8655535,1.60,136158,400,21640,10000,3.0,30,93
101,Switzerland,Europe,8654622,0.74,63257,219,39516,52000,1.5,43,74
102,Togo,Africa,8278724,2.43,196358,152,54390,-2000,4.4,19,43
